0x8afbd8,Weapon,Actor Count,Melee Animation ID,Ranged Animation ID,MapAnimProc,Restore Position?,Facing direction,Flash Color,##UNKNOWN##
0x0,BaseSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1,IronSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2,SteelSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x3,SilverSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x4,BraveSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x5,PoisonSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x6,Rapier,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x7,DeensSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8,HolySword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9,RoyalSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xa,AstraSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xb,Armorslayer,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xc,Zweihander,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xd,Ladyblade,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xe,Ilwoon,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xf,Lancereaver,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x10,Zanbato,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x11,GoldDagger,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x12,Falchion,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x13,TheZofia,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x14,Mercurius,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x15,BaseLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x16,IronLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x17,SteelLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x18,SilverLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x19,PoisonLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1a,KillerLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1b,HolyLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1c,Ridersbane,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1d,Axereaver,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1e,Forscythe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x1f,Rhomphaia,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x20,Imperius,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x21,SolLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x22,BaseAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x23,IronAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x24,SteelAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x25,SilverAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x26,PoisonAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x27,KillerAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x28,Halberd,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x29,Hammer,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2a,DevilAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2b,Swordreaver,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2c,Hauteclere,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x2d,Javelin,2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x2e,Kriemhild,2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x2f,Gradivus,2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x30,Saunion,2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x31,HandAxe,2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x32,Pugi,2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x33,Hatchet,2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x34,BaseBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x35,IronBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x36,SteelBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x37,SilverBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x38,KillerBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x39,PoisonBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x3a,HolyBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x3b,Longbow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x3c,RadiantBow,2,0x17,0x0,0x0,0x1,0x0,MU_FlashBlue,0x0
0x3d,MilasBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x3e,Parthia,2,0x2,0x0,0x0,0x1,0x0,MU_FlashRed,0x0
0x3f,LunaBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x40,BallistaWeapon,2,0x10,0x0,0x0,0x1,0x0,0x0,0x0
0x41,Shadowblade,2,0xffff,0x0,0x0,0x1,0x0,MU_FlashBlack,0x0
0x42,Thunderblade,2,0x19,0x0,0x0,0x1,0x0,MU_FlashBlue,0x0
0x43,Fire,2,0x16,0x0,0x0,0x1,0x0,MU_FlashRed,0x0
0x44,Thunder,2,0x19,0x0,0x0,0x1,0x0,MU_FlashBlue,0x0
0x45,Sagittae,2,0x17,0x0,0x0,0x1,0x0,0x0,0x0
0x46,Bolting,2,0x1a,0x0,0x0,0x1,0x0,MU_FlashBlue,0x0
0x47,Ragnarok,2,0x18,0x0,0x0,0x1,0x0,MU_FlashRed,0x0
0x48,Excalibur,2,0x1c,0x0,0x0,0x1,0x0,MU_FlashGreen,0x0
0x49,Nosferatu,2,0x1e,0x0,0x0,0x1,0x0,0x0,0x0
0x4a,Shine,2,0x33,0x0,0x0,0x1,0x0,0x0,0x0
0x4b,Seraphim,2,0x21,0x0,0x0,0x1,0x0,0x0,0x0
0x4c,Purge,2,0x20,0x0,0x0,0x1,0x0,0x0,0x0
0x4d,Aura,2,0x37,0x0,0x0,0x1,0x0,0x0,0x0
0x4e,Miasma,2,0x1d,0x0,0x0,0x1,0x0,MU_FlashBlack,0x0
0x4f,Selene,2,0x34,0x0,0x0,0x1,0x0,MU_FlashBlack,0x0
0x50,Sisyphus,2,0x1e,0x0,0x0,0x1,0x0,MU_FlashBlack,0x0
0x51,Mire,2,0x45,0x0,0x0,0x1,0x0,MU_FlashBlack,0x0
0x52,Medusa,2,0x24,0x0,0x0,0x1,0x0,MU_FlashBlack,0x0
0x53,Thanatos,2,0x25,0x0,0x0,0x1,0x0,MU_FlashBlack,0x0
0x54,Heal,2,0x26,0x0,0x89a4a54,0x1,0x0,0x0,0x0
0x55,Expel,1,0xfffe,0x0,ExpelMapAnimProc|IsPointer,0x0,0x1,0x0,0x0
0x56,Recover,2,0x28,0x0,0x89a4b24,0x1,0x0,0x0,0x0
0x57,Physic,2,0x29,0x0,0x89a4b8c,0x1,0x0,0x0,0x0
0x58,Fortify,1,0x2a,0x0,0x89a489c,0x0,0x1,0x0,0x0
0x59,Warp,2,0xfffe,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x5a,Rescue,2,0xfffe,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x5b,Restore,2,0x2c,0x0,0x89a4f44,0x0,0x0,0x0,0x0
0x5c,Silence,2,0x2d,0x0,0x89a4ea4,0x0,0x0,0x0,0x0
0x5d,Freeze,2,0x2e,0x0,0x89a4d64,0x0,0x0,0x0,0x0
0x5e,TorchStaff,1,0xfffe,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x5f,Invoke,2,0x2f,0x0,0x89a4fcc,0x0,0x0,0x0,0x0
0x60,Entrap,2,0xfffe,0x0,0x89a5214,0x0,0x0,0x0,0x0
0x61,Unlock,1,0xfffe,0x0,0x89a4c3c,0x0,0x2,0x0,0x0
0x62,Rewarp,1,0xfffe,0x0,RewarpMapAnimProc|IsPointer,0x0,0x0,0x0,0x0
0x63,Anew,2,0xfffe,0x0,0x89a4fcc,0x0,0x1,0x0,0x0
0x64,MilasPromotionBlessing,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x65,HerosProof,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x66,ZofianCrown,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x67,Vulnerary,1,0xfffe,0x0,0x89a49fc,0x1,0x1,0x0,0x0
0x68,Elixir,1,0xfffe,0x0,0x89a49a4,0x1,0x1,0x0,0x0
0x69,PureWater,1,0xfffe,0x0,0x89a495c,0x0,0x1,0x0,0x0
0x6a,Torch,1,0xfffe,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
0x6b,Antitoxin,1,0xfffe,0x0,0x89a4914,0x0,0x1,0x0,0x0
0x6c,RottenClaw,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x6d,FetidClaw,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x6e,PoisonClaw,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x6f,LethalTalon,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x70,SharpClaw,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x71,FireFang,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x72,HellFang,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x73,EvilEye,2,0x42,0x0,0x0,0x1,0x0,0x0,0x0
0x74,CrimsonEye,2,0x41,0x0,0x0,0x1,0x0,0x0,0x0
0x75,DivideAbility,2,0x2f,0x0,0x89a4fcc,0x0,0x0,0x0,0x0
0x76,Conjure,2,0x2f,0x0,0x89a4fcc,0x0,0x0,0x0,0x0
0x77,Tackle_Mogall,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x78,Tentacle,2,0x45,0x0,0x0,0x1,0x0,0x0,0x0
0x79,Shadowshot,2,0x44,0x0,0x0,0x1,0x0,MU_FlashBlack,0x0
0x7a,DragonBreath,2,0x47,0x0,0x0,0x1,0x0,MU_FlashBlue,0x0
0x7b,WretchedAir,2,0x47,0x0,0x0,0x1,0x0,MU_FlashBlack,0x0
0x7c,Stone,2,0x3e,0x0,0x89a4e04,0x1,0x0,0x0,0x0
0x7d,Nightmare,2,0xfffe,0x0,0x89a481c,0x0,0x0,0x0,0x0
0x7e,Upheaval,2,0xfffe,0x0,0x89a481c,0x0,0x0,0x0,0x0
0x7f,OcularBeam,2,0x40,0x0,0x0,0x1,0x0,0x0,0x0
0x80,Oculus,2,0x42,0x0,0x0,0x1,0x0,0x0,0x0
0x81,Dragonstone,2,0x13,0x0,0x0,0x1,0x0,0x0,0x0
0x82,FillasMight,2,0x3a,0x0,0x0,0x0,0x0,MU_FlashRed,0x0
0x83,NinissGrace,2,0x3b,0x0,0x0,0x0,0x0,MU_FlashBlue,0x0
0x84,ThorsIre,2,0x3c,0x0,0x0,0x0,0x0,MU_FlashYellow,0x0
0x85,SetsLitany,2,0x3d,0x0,0x0,0x0,0x0,MU_FlashGreen,0x0
0x86,0x81,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x87,HeavySpear,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x88,HolyAxe,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x89,AetherAxe,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x8a,DumasLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8b,WindSword,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8c,0xBD,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8d,0xBE,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8e,0xBF,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x8f,0xC0,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x90,0xC1,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x91,0xC2,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x92,0xC3,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x93,0xC4,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x94,0xC5,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x95,0xC6,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x96,0xC7,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x97,0xC8,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x98,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x99,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9a,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9b,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9c,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9d,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9e,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x9f,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0xa0,0xC9,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
